city,lat,lng,temp,humidity,cloudiness,windspeed,country,date
Petropavlovsk-Kamchatskiy,53.05,158.65,44.6,100,75,4.47,RU,1600808063
Cidreira,-30.18,-50.21,58.03,69,0,15.61,BR,1600808064
Clyde River,70.47,-68.59,32.0,91,20,6.93,CA,1600808064
Sorong,-0.88,131.25,78.08,84,100,2.35,ID,1600807791
Harlingen,26.19,-97.7,89.22,59,75,10.29,US,1600808065
Mayo,38.89,-76.51,70.23,35,1,9.17,US,1600808065
Ngunguru,-35.62,174.5,57.99,95,31,5.99,NZ,1600807800
Inhambane,-23.86,35.38,64.65,76,15,8.93,MZ,1600808066
Lincoln,40.8,-96.67,82.94,37,1,13.87,US,1600808066
Røros,62.57,11.38,50.0,76,100,6.93,NO,1600808066
La Seyne-sur-Mer,43.1,5.88,63.63,80,20,6.06,FR,1600808067
Nicoya,10.15,-85.45,84.2,83,40,10.29,CR,1600808067
Koygorodok,60.45,51.0,40.55,86,0,10.22,RU,1600808067
Santiago del Estero,-27.8,-64.26,84.52,16,0,14.65,AR,1600807842
Elko,41.0,-115.5,79.18,7,33,11.99,US,1600808069
Kemijärvi,66.71,27.43,37.08,80,65,6.13,FI,1600808069
College,64.86,-147.8,46.51,70,75,1.36,US,1600808069
Saint-Joseph,-21.37,55.62,59.5,63,19,5.82,RE,1600807900
Ashtabula,41.7,-80.77,68.83,42,1,4.7,US,1600807926
Singaraja,-8.11,115.09,78.35,74,6,5.91,ID,1600808015
Bilibino,68.05,166.44,33.6,87,100,3.11,RU,1600808069
Ostrovnoy,68.05,39.51,42.04,83,65,13.69,RU,1600808070
Marsh Harbour,26.54,-77.06,80.17,68,12,20.09,BS,1600808070
Sibolga,1.74,98.78,77.23,83,100,3.76,ID,1600808070
Mount Gambier,-37.83,140.77,46.4,100,75,4.7,AU,1600808070
Hastings,50.86,0.57,62.4,87,23,1.99,GB,1600808070
Hanzhong,33.07,107.03,56.16,88,63,0.89,CN,1600808071
Faya,18.39,42.45,72.5,15,3,7.25,SA,1600807798
Verkhnyaya Inta,65.98,60.31,37.81,79,100,5.1,RU,1600808071
Gamboula,4.12,15.14,71.02,95,93,3.09,CF,1600808071
Iquitos,-3.75,-73.25,86.0,66,75,8.05,PE,1600808071
Olovyannaya,50.95,115.57,37.71,86,0,5.26,RU,1600808071
San Cristobal,7.77,-72.22,93.2,41,40,6.93,VE,1600808072
Conil,44.97,3.72,48.42,100,73,2.86,FR,1600808072
Kahului,20.89,-156.47,83.48,45,40,14.99,US,1600807881
Agronom,45.14,39.19,62.13,55,0,8.95,RU,1600808073
Vao,-22.67,167.48,70.14,81,4,13.29,NC,1600808073
Geraldton,-28.77,114.6,46.4,100,0,5.82,AU,1600808074
South Lake Tahoe,38.93,-119.98,74.93,18,1,10.29,US,1600808045
Zhicheng,30.3,111.5,62.01,94,88,3.47,CN,1600808074
Soubre,5.79,-6.61,71.96,97,47,4.54,CI,1600808074
Thinadhoo,0.53,72.93,82.06,69,12,8.28,MV,1600808074
Ayagoz,47.97,80.44,48.29,46,100,8.63,KZ,1600808074
Shebunino,46.43,141.86,51.19,82,6,8.12,RU,1600808075
Natal,-5.79,-35.21,79.74,69,20,14.99,BR,1600807789
Talara,-4.58,-81.27,66.72,78,2,14.32,PE,1600808077
Tulum,20.22,-87.47,90.5,62,20,10.29,MX,1600808077
Benidorm,38.54,-0.13,73.33,55,100,8.84,ES,1600808069
Santa Cruz de la Sierra,-17.8,-63.17,83.08,23,0,2.24,BO,1600807853
Mutatá,7.24,-76.44,83.55,78,97,2.82,CO,1600808078
Sikonge,-5.63,32.77,74.61,43,30,8.99,TZ,1600808079
São João da Barra,-21.64,-41.05,69.8,94,90,12.75,BR,1600807872
Guilin,25.28,110.29,69.8,94,90,2.24,CN,1600808079
Rosário do Sul,-30.26,-54.91,61.23,74,0,8.41,BR,1600808080
Amahai,-3.33,128.92,82.99,94,10,2.66,ID,1600808080
Lázaro Cárdenas,17.96,-102.2,85.26,72,92,9.66,MX,1600808080
Nānākuli,21.39,-158.15,83.03,51,1,11.41,US,1600808080
Enid,36.4,-97.88,69.85,100,90,8.05,US,1600808081
Soma,39.19,27.61,68.61,77,27,4.7,TR,1600808081
Manhuaçu,-20.26,-42.03,67.55,84,100,0.89,BR,1600808081
Whitehorse,60.72,-135.05,51.8,53,75,14.99,CA,1600808081
Christchurch,-43.53,172.63,60.8,63,23,4.7,NZ,1600807897
Maniitsoq,65.42,-52.9,33.87,88,60,3.78,GL,1600808082
Kavaratti,10.57,72.64,81.5,79,75,21.61,IN,1600808025
Lavrentiya,65.58,-171.0,38.98,87,91,7.9,RU,1600808082
Kumul,42.8,93.45,63.39,41,0,4.79,CN,1600808082
Klaksvík,62.23,-6.59,42.8,87,99,8.05,FO,1600807840
Cap Malheureux,-19.98,57.61,66.99,75,11,5.01,MU,1600808083
Oranjestad,12.52,-70.03,91.4,63,20,14.99,AW,1600807989
Waingapu,-9.66,120.26,76.89,60,93,3.18,ID,1600807901
Kralendijk,12.15,-68.27,89.6,70,40,17.22,BQ,1600808083
Sardhana,29.15,77.62,79.65,81,65,7.11,IN,1600808083
Flinders,-34.58,150.86,58.28,60,0,3.0,AU,1600808083
Grand Gaube,-20.01,57.66,66.99,75,14,5.01,MU,1600808083
Gravdal,68.12,13.5,39.2,80,40,3.36,NO,1600808083
Ayorou,14.73,0.92,91.17,38,54,12.24,NE,1600808084
Olafsvik,64.89,-23.71,41.94,71,100,16.96,IS,1600807883
Marzuq,14.4,46.47,80.19,35,84,5.68,YE,1600808084
Bogorodskoye,56.55,37.88,52.74,85,87,10.13,RU,1600808084
Paamiut,61.99,-49.67,37.4,80,0,15.75,GL,1600808084
Ekuvukeni,-28.47,30.16,52.38,68,0,2.39,ZA,1600808084
The Valley,18.22,-63.06,88.07,62,20,9.17,AI,1600808086
Korla,41.76,86.15,61.86,31,0,1.25,CN,1600808082
Rome,43.21,-75.46,64.8,45,1,10.29,US,1600807925
Hammerfest,70.66,23.68,42.8,81,75,33.33,NO,1600807830
Rawson,-43.3,-65.1,63.14,30,0,14.05,AR,1600808086
Batemans Bay,-35.72,150.18,48.49,69,0,5.99,AU,1600808086
Marystown,47.17,-55.15,52.0,100,100,8.99,CA,1600808086
Sumbawanga,-7.97,31.62,65.46,47,59,7.72,TZ,1600808086
Petalcingo,17.28,-92.45,86.0,79,75,3.06,MX,1600808087
Oussouye,12.48,-16.55,84.2,83,75,6.93,SN,1600808087
Chake Chake,-5.25,39.77,76.35,86,80,10.29,TZ,1600808087
Acapulco de Juárez,16.86,-99.89,87.8,70,5,8.05,MX,1600807949
Payakumbuh,-0.22,100.63,70.84,85,94,0.2,ID,1600808087
Borgarnes,64.54,-21.92,36.9,80,75,4.7,IS,1600808087
Prattville,32.46,-86.46,72.82,64,90,3.36,US,1600808035
Shevchenkove,49.7,37.17,53.31,54,1,3.06,UA,1600808088
Arrondissement de Riom,45.92,2.92,60.8,72,100,4.7,FR,1600807888
São Mateus do Maranhão,-4.04,-44.48,90.72,35,3,2.93,BR,1600808088
Sarankhola,22.31,89.79,80.58,91,100,9.51,BD,1600808088
Balakhta,55.38,91.6,47.68,89,93,4.38,RU,1600808088
Vila Franca do Campo,37.72,-25.43,68.0,77,20,8.05,PT,1600808088
Mahuta,-10.87,39.45,65.26,95,0,4.03,TZ,1600808089
Hualmay,-11.1,-77.61,65.77,70,19,9.01,PE,1600808089
Dubrovnik,42.65,18.09,64.4,82,20,10.29,HR,1600807845
Teya,60.38,92.63,44.4,88,72,3.13,RU,1600808089
Omsukchan,62.53,155.8,32.86,85,0,2.46,RU,1600808089
Mossamedes,-15.2,12.15,64.53,88,60,4.54,AO,1600808089
Nogliki,51.83,143.17,42.93,75,0,4.81,RU,1600808089
Gävle,60.67,17.14,52.0,78,100,5.01,SE,1600808090
San Policarpo,12.18,125.51,77.63,88,67,4.0,PH,1600808090
Makkah al Mukarramah,21.43,39.83,87.82,22,0,6.02,SA,1600808090
Butterworth,5.4,100.36,77.0,94,40,5.82,MY,1600808090
Iqaluit,63.75,-68.51,33.8,92,90,10.29,CA,1600807855
Yulara,-25.24,130.99,55.4,49,0,8.05,AU,1600807898
Huangpi,30.88,114.38,62.6,100,90,4.47,CN,1600808091
Xinpu,34.6,119.16,67.37,74,100,4.5,CN,1600808092
Solnechnyy,50.72,136.63,42.87,82,19,2.24,RU,1600808092
Salalah,17.02,54.09,80.6,88,75,5.82,OM,1600808092
Arlit,18.74,7.39,96.8,17,0,7.87,NE,1600808092
Tres Arroyos,-38.37,-60.28,64.36,59,4,9.8,AR,1600808092
Mitsamiouli,-11.38,43.28,78.76,72,11,7.27,KM,1600808093
La Libertad,-2.23,-80.9,71.6,78,75,11.41,EC,1600808093
Podporozh'ye,60.91,34.17,44.58,83,95,3.65,RU,1600808093
Khorixas,-20.37,14.97,57.81,52,3,1.16,NA,1600808093
Garoowe,8.41,48.48,80.15,51,80,24.2,SO,1600808094
Kamenka,51.32,42.77,55.0,68,12,8.77,RU,1600808094
Ixtapa,20.7,-105.2,88.41,74,20,8.05,MX,1600808095
Saint George,37.1,-113.58,92.64,19,1,3.36,US,1600807951
Nhulunbuy,-12.23,136.77,71.6,88,42,7.94,AU,1600808095
Oddur,4.12,43.89,76.51,61,100,19.13,SO,1600808096
Porto Walter,-8.27,-72.74,82.17,83,99,2.66,BR,1600808096
Bengkulu,-3.8,102.27,76.96,84,82,6.8,ID,1600808096
Dom Pedro,-4.48,-44.45,90.36,36,2,2.51,BR,1600807849
Baie-Comeau,49.22,-68.15,51.8,71,1,5.82,CA,1600807810
Tual,-5.67,132.75,81.05,80,69,18.77,ID,1600808097
Santiago,-33.46,-70.65,79.65,24,100,8.05,CL,1600807862
Abhā,18.22,42.51,72.55,15,2,8.88,SA,1600808097
Torbay,47.67,-52.73,50.29,87,90,16.11,CA,1600808097
Nioki,-2.72,17.68,74.5,88,67,2.01,CD,1600808097
Severnoye,56.35,78.36,41.02,79,100,8.23,RU,1600808098
Peñarroya-Pueblonuevo,38.3,-5.27,71.83,53,100,5.82,ES,1600808098
Roald,62.58,6.13,53.58,93,75,5.82,NO,1600808098
Lima,-12.04,-77.03,66.49,64,75,8.05,PE,1600807840
Daokou,35.56,114.51,65.79,74,95,3.96,CN,1600808098
Prince Albert,53.2,-105.77,68.0,40,40,10.29,CA,1600808098
Fort Nelson,58.81,-122.7,53.6,50,75,3.36,CA,1600808098
Ponta Delgada,37.73,-25.67,68.0,77,20,8.05,PT,1600808099
Enshi,30.3,109.48,60.93,85,89,0.96,CN,1600808099
Nouadhibou,20.93,-17.03,77.0,78,0,14.99,MR,1600808099
Sinnamary,5.38,-52.95,81.63,77,7,15.55,GF,1600808099
Ouallam,14.32,2.09,86.5,50,0,8.25,NE,1600808099
Yabēlo,4.88,38.08,66.15,55,52,6.89,ET,1600808099
Prince Rupert,54.32,-130.32,57.2,62,1,9.17,CA,1600808100
Santa Maria,-29.68,-53.81,68.0,52,0,11.41,BR,1600808100
Poronaysk,49.22,143.12,45.73,87,43,3.15,RU,1600808100
Rantepao,-2.97,119.9,65.88,90,80,1.43,ID,1600808100
Mayor Pablo Lagerenza,-19.93,-60.77,83.91,35,0,5.53,PY,1600808100
Parabel',58.7,81.48,38.3,84,98,7.52,RU,1600808100
Bathsheba,13.22,-59.52,87.8,66,40,12.75,BB,1600808101
Wanaka,-44.7,169.15,46.99,88,49,5.46,NZ,1600808101
Hay River,60.82,-115.8,60.8,48,20,11.41,CA,1600808101
Boende,-0.22,20.87,73.17,92,0,3.02,CD,1600808101
Mbanza-Ngungu,-5.25,14.87,77.36,61,28,10.83,CD,1600808101
Voka,59.4,27.58,51.6,89,73,8.61,EE,1600808102
Tautira,-17.73,-149.15,84.2,66,20,16.11,PF,1600807825
Byron Bay,-28.65,153.62,67.17,88,87,5.86,AU,1600808102
Naryan-Mar,67.67,53.09,41.27,94,100,7.85,RU,1600808102
Banda Aceh,5.56,95.32,80.29,76,100,4.36,ID,1600808102
Taoudenni,22.68,-3.98,100.53,9,0,7.9,ML,1600807972
Shimoda,34.67,138.95,63.0,96,100,5.01,JP,1600807887
Fortuna Foothills,32.66,-114.41,102.07,21,1,6.93,US,1600808102
Podgornoye,51.73,39.15,55.4,54,18,6.71,RU,1600808103
Zapolyarnyy,69.42,30.81,42.8,81,40,35.57,RU,1600808103
Bambanglipuro,-7.95,110.28,75.6,88,52,4.7,ID,1600807856
Agadez,19.75,10.25,87.13,17,0,8.34,NE,1600807822
Boysun,38.21,67.2,52.88,43,0,2.42,UZ,1600808103
Hasaki,35.73,140.83,67.68,94,75,6.93,JP,1600807804
Ejido,8.55,-71.24,78.33,51,97,3.4,VE,1600808104
Kindu,-2.95,25.95,74.26,79,89,1.79,CD,1600808104
Valdivia,-39.81,-73.25,60.8,48,40,5.82,CL,1600807933
Laguna,38.42,-121.42,85.05,36,1,9.17,US,1600808104
Indiana,40.0,-86.25,76.32,44,1,3.36,US,1600808104
Honnāli,14.25,75.67,71.44,88,85,11.45,IN,1600808104
Maceió,-9.67,-35.74,78.8,74,23,12.75,BR,1600808104
Qaqortoq,60.72,-46.03,41.0,35,0,3.36,GL,1600808038
Tambacounda,13.75,-13.76,86.0,84,20,2.24,SN,1600808105
Bariloche,-41.15,-71.31,51.8,37,1,24.16,AR,1600808105
Sivas Province,39.79,37.0,51.8,93,0,9.17,TR,1600808105
Palenque/Temp,17.52,-91.97,86.0,79,75,6.02,MX,1600808105
Gorahun,7.47,-11.24,73.09,98,98,2.91,SL,1600808106
Labuhan,-6.88,112.21,78.08,84,97,10.58,ID,1600808106
Oranjemund,-28.55,16.43,66.45,30,0,12.48,NA,1600808106
Mwinilunga,-11.74,24.43,67.73,30,89,4.45,ZM,1600808106
Médéa,36.26,2.75,69.8,83,100,2.24,DZ,1600808106
Atar,20.52,-13.05,96.04,27,0,6.35,MR,1600808106
Victor Harbor,-35.57,138.62,48.0,87,17,13.22,AU,1600808107
Fougamou,-1.22,10.58,73.71,92,100,2.84,GA,1600808108
Sungai Raya,0.7,108.9,76.44,79,97,4.0,ID,1600808108
Whitianga,-36.83,175.7,61.0,87,73,4.0,NZ,1600808108
Cururupu,-1.83,-44.87,78.21,78,80,4.7,BR,1600808108
Kütahya,39.42,29.98,62.6,77,0,9.17,TR,1600807879
Nova Olímpia,-14.8,-57.29,95.36,28,22,4.23,BR,1600808108
Kalmar,56.66,16.36,52.99,100,1,5.82,SE,1600807891
Saint-Augustin,51.23,-58.65,52.92,65,100,13.35,CA,1600808109
Gayéri,12.65,0.49,78.35,74,66,4.5,BF,1600808109
North Bend,43.41,-124.22,67.66,68,1,8.05,US,1600808102
Amazar,53.86,120.88,46.81,91,100,7.38,RU,1600808109
Panama City,8.99,-79.52,76.53,100,40,4.7,PA,1600807823
Turukhansk,65.82,87.98,46.9,85,100,12.21,RU,1600807912
Amuntai,-2.42,115.25,72.77,98,100,0.81,ID,1600808109
Aykhal,66.0,111.5,41.0,65,0,4.47,RU,1600808110
Shirochanskoye,46.65,38.4,61.34,31,0,10.25,RU,1600808110
Nishihara,26.18,127.76,78.26,94,20,9.13,JP,1600808110
Prabumulih,-3.45,104.25,75.18,87,92,0.31,ID,1600808110
Forsytheganj,52.63,29.73,56.1,72,0,6.4,BY,1600808110
Aksu,41.12,80.26,62.33,30,6,4.34,CN,1600808110
Makakilo City,21.35,-158.09,83.3,51,1,11.41,US,1600808085
Billings Metropolitan Area,45.78,-108.5,77.83,17,75,7.74,US,1600808112
Catabola,-12.15,17.28,70.5,55,63,4.41,AO,1600808112
Zliten,32.47,14.57,82.17,58,5,15.41,LY,1600808112
Tucupita,9.06,-62.05,88.68,64,80,4.09,VE,1600808112
Gizo Government Station,-8.1,156.84,82.67,74,27,7.36,SB,1600808112
Augusto Corrêa,-1.02,-46.63,79.47,74,22,7.02,BR,1600808113
Charlestown,-32.95,151.67,58.35,62,0,10.54,AU,1600807958
La Rioja,42.25,-2.5,66.2,72,75,1.12,ES,1600808113
Bastrop,32.76,-91.87,66.54,100,90,3.36,US,1600808114
Wagar,16.15,36.2,94.48,17,8,4.61,SD,1600808114
Belfast,54.58,-5.93,53.53,87,100,8.05,GB,1600808114
Baoqing,46.33,132.21,52.21,93,100,5.41,CN,1600808114
Usinsk,65.99,57.53,38.84,98,100,8.55,RU,1600808114
Lompoc,34.64,-120.46,64.18,72,1,19.46,US,1600808115
Dhidhdhoo,6.88,73.1,82.11,77,100,16.37,MV,1600808115
Deputatsky,69.3,139.9,34.25,92,90,4.47,RU,1600808115
Córdoba,-31.41,-64.18,77.2,15,0,24.16,AR,1600808115
Okhotsk,59.38,143.3,44.2,86,0,4.25,RU,1600808116
Colares,38.8,-9.45,67.84,94,40,8.05,PT,1600808116
Raahe,64.68,24.48,44.11,81,97,4.7,FI,1600808117
Tupiza,-21.45,-65.72,67.28,19,0,7.85,BO,1600808117
Imbituba,-28.24,-48.67,62.6,55,75,8.05,BR,1600807889
Malpe,13.35,74.72,75.2,94,75,13.6,IN,1600808117
Karasjok,69.47,25.51,41.0,87,45,33.33,NO,1600808117
Jumla,29.27,82.18,60.17,69,95,2.91,NP,1600808118
Vilhena,-12.74,-60.15,85.41,43,19,3.24,BR,1600808119
Valparaíso,-33.04,-71.63,69.91,23,100,17.22,CL,1600808119
Williams Lake,52.14,-122.14,59.0,62,40,9.17,CA,1600808120
Zhigansk,66.77,123.37,37.54,80,13,3.4,RU,1600808121
Zitlala,17.63,-99.08,72.43,73,23,2.28,MX,1600808121
Montreal,45.51,-73.59,64.99,42,5,6.93,CA,1600808063
Yarensk,62.17,49.09,39.45,83,1,8.68,RU,1600808121
Katherine,-14.47,132.27,78.8,69,6,3.36,AU,1600808122
Padre Paraíso,-17.07,-41.48,75.63,56,51,5.82,BR,1600808122
Haines Junction,60.75,-137.51,48.25,63,100,3.47,CA,1600808122
Rānāghāt,23.18,88.58,82.4,94,40,4.7,IN,1600808122
Kawalu,-7.38,108.21,71.06,93,75,1.34,ID,1600808122
São Gabriel da Cachoeira,-0.13,-67.09,84.4,76,100,1.79,BR,1600807989
Kaeo,-35.1,173.78,57.99,95,18,5.99,NZ,1600808123
Ják,47.14,16.58,60.8,93,100,4.41,HU,1600808123
Marawi,8.0,124.29,75.0,85,100,7.0,PH,1600808123
Salem,11.65,78.17,72.46,84,38,2.08,IN,1600807933
Shubarshi,48.59,57.19,52.48,66,76,8.81,KZ,1600808123
Broken Hill,-31.95,141.43,50.0,71,0,8.05,AU,1600808124
Pattani,6.75,100.42,75.2,100,20,2.24,TH,1600808124
Sevsk,52.15,34.49,54.27,70,0,6.62,RU,1600808124
Plettenberg Bay,-34.05,23.37,55.67,69,0,5.03,ZA,1600808124
Lata,40.16,-8.33,66.87,88,20,4.7,PT,1600808124
Mīnāb,27.15,57.08,84.2,70,0,11.41,IR,1600807864
Yermish',54.77,42.27,53.15,85,1,10.8,RU,1600808125
Terney,45.05,136.61,53.06,81,83,5.88,RU,1600808125
Narsaq,60.92,-46.05,41.0,35,0,3.36,GL,1600808125
Manaure,11.78,-72.44,87.8,74,40,9.17,CO,1600808125
Sayyan,15.17,44.32,64.02,42,85,1.9,YE,1600808126
Pierre,44.37,-100.35,89.28,29,1,16.11,US,1600807847
Los Baños,14.17,121.18,77.9,100,40,1.81,PH,1600808126
San Pedro Garza García,25.67,-100.4,86.79,40,5,4.7,MX,1600808126
Salò,45.61,10.53,63.9,93,100,1.12,IT,1600808127
Rouvroy,50.39,2.9,63.05,52,10,8.05,FR,1600808127
Wanning,18.8,110.4,78.87,84,78,2.26,CN,1600808127
Bugasong,11.04,122.07,78.78,79,56,4.09,PH,1600808127
Fairbanks,64.84,-147.72,46.53,70,1,1.32,US,1600808127
Tazovsky,67.47,78.7,41.22,91,100,11.34,RU,1600808127
Roebourne,-20.78,117.13,67.82,24,0,12.46,AU,1600808128
Fallon,39.47,-118.78,85.05,9,1,4.7,US,1600808128
Rocha,-34.48,-54.33,54.21,75,54,5.97,UY,1600808128
Kot Addu,30.47,70.97,87.8,58,0,1.23,PK,1600808128
Yambio,4.57,28.4,69.31,95,1,1.16,SS,1600808050
Xaltianguis,17.07,-99.83,87.8,70,5,8.05,MX,1600808128
Road Town,18.42,-64.62,83.34,87,100,1.01,VG,1600808129
Mason City,43.15,-93.2,80.55,42,1,9.17,US,1600808129
San Carlos,9.66,-68.58,85.86,70,91,1.83,VE,1600808129
Santa Rosalía,27.32,-112.28,90.07,51,0,10.49,MX,1600808015
